,Date,State/UnionTerritory,Confirmed,Density,Intensity
384,2020-03-26,Puducherry,1,2598.0,0.00038491147036181676
385,2020-03-26,Punjab,33,550.0,0.06
386,2020-03-26,Rajasthan,41,201.0,0.20398009950248755
387,2020-03-26,Tamil Nadu,26,555.0,0.04684684684684685
388,2020-03-26,Telengana,44,312.0,0.14102564102564102
389,2020-03-26,Uttarakhand,5,189.0,0.026455026455026454
390,2020-03-26,Uttar Pradesh,41,828.0,0.049516908212560384
391,2020-03-26,West Bengal,10,1029.0,0.009718172983479106
392,2020-03-27,Andaman and Nicobar Islands,1,46.0,0.021739130434782608
393,2020-03-27,Andhra Pradesh,12,303.0,0.039603960396039604
394,2020-03-27,Bihar,6,1102.0,0.0054446460980036296
395,2020-03-27,Chandigarh,7,9252.0,0.0007565931690445309
396,2020-03-27,Chhattisgarh,6,189.0,0.031746031746031744
397,2020-03-27,Delhi,36,11297.0,0.0031866867309905283
398,2020-03-27,Goa,3,394.0,0.007614213197969543
399,2020-03-27,Gujarat,43,308.0,0.1396103896103896
400,2020-03-27,Haryana,30,573.0,0.05235602094240838
401,2020-03-27,Himachal Pradesh,3,123.0,0.024390243902439025
402,2020-03-27,Jammu and Kashmir,13,98.0,0.1326530612244898
403,2020-03-27,Karnataka,55,319.0,0.1724137931034483
404,2020-03-27,Kerala,137,859.0,0.15948777648428406
405,2020-03-27,Ladakh,13,2.8,4.642857142857143
406,2020-03-27,Madhya Pradesh,20,236.0,0.0847457627118644
407,2020-03-27,Maharashtra,130,365.0,0.3561643835616438
408,2020-03-27,Manipur,1,122.0,0.00819672131147541
409,2020-03-27,Mizoram,1,52.0,0.019230769230769232
410,2020-03-27,Odisha,2,269.0,0.007434944237918215
411,2020-03-27,Puducherry,1,2598.0,0.00038491147036181676
412,2020-03-27,Punjab,33,550.0,0.06
413,2020-03-27,Rajasthan,41,201.0,0.20398009950248755
414,2020-03-27,Tamil Nadu,29,555.0,0.05225225225225225
415,2020-03-27,Telengana,45,312.0,0.14423076923076922
416,2020-03-27,Uttarakhand,5,189.0,0.026455026455026454
417,2020-03-27,Uttar Pradesh,41,828.0,0.049516908212560384
418,2020-03-27,West Bengal,10,1029.0,0.009718172983479106
419,2020-03-28,Andhra Pradesh,14,303.0,0.0462046204620462
420,2020-03-28,Andaman and Nicobar Islands,6,46.0,0.13043478260869565
421,2020-03-28,Bihar,9,1102.0,0.008166969147005444
422,2020-03-28,Chandigarh,8,9252.0,0.0008646779074794639
423,2020-03-28,Chhattisgarh,6,189.0,0.031746031746031744
424,2020-03-28,Delhi,39,11297.0,0.0034522439585730723
425,2020-03-28,Goa,3,394.0,0.007614213197969543
426,2020-03-28,Gujarat,45,308.0,0.1461038961038961
427,2020-03-28,Haryana,33,573.0,0.05759162303664921
428,2020-03-28,Himachal Pradesh,3,123.0,0.024390243902439025
429,2020-03-28,Jammu and Kashmir,20,98.0,0.20408163265306123
430,2020-03-28,Karnataka,55,319.0,0.1724137931034483
431,2020-03-28,Kerala,176,859.0,0.2048894062863795
432,2020-03-28,Ladakh,13,2.8,4.642857142857143
433,2020-03-28,Madhya Pradesh,30,236.0,0.1271186440677966
434,2020-03-28,Maharashtra,180,365.0,0.4931506849315068
435,2020-03-28,Manipur,1,122.0,0.00819672131147541
436,2020-03-28,Mizoram,1,52.0,0.019230769230769232
437,2020-03-28,Odisha,3,269.0,0.011152416356877323
438,2020-03-28,Puducherry,1,2598.0,0.00038491147036181676
439,2020-03-28,Punjab,38,550.0,0.06909090909090909
440,2020-03-28,Rajasthan,54,201.0,0.26865671641791045
441,2020-03-28,Tamil Nadu,40,555.0,0.07207207207207207
442,2020-03-28,Telengana,56,312.0,0.1794871794871795
